,i_vals,loss,min_loss,no_fold_vals,supervised,auxilaryEmbedding1,auxilaryEmbedding2,auxilaryGraph,linkageActFun,linkageBatchNorm,linkageNeurons,linkagePosition,reverseLinkagePosition
14,4,105.09624481201172,102.8605728149414,10,False,False,False,True,False,True,,Late,Early
15,5,151.39332580566406,81.33322143554688,10,False,False,False,True,False,True,,Late,Early
16,6,567.049560546875,563.2601318359375,10,False,False,False,True,False,True,,Late,Early
17,7,112.91844940185547,108.95386505126953,10,False,False,False,True,False,True,,Late,Early
18,8,123.31362915039062,116.6437759399414,10,False,False,False,True,False,True,,Late,Early
19,9,323.44140625,319.8831481933594,10,False,False,False,True,False,True,,Late,Early
0,0,599.2708129882812,288.070556640625,5,True,False,False,False,False,True,,Late,Early
1,1,1251.13818359375,95.20052337646484,5,True,False,False,False,False,True,,Late,Early
2,2,409.84381103515625,356.78204345703125,5,True,False,False,False,False,True,,Late,Early
3,3,279.18475341796875,32.06156539916992,5,True,False,False,False,False,True,,Late,Early
4,4,2209.3828125,228.18348693847656,5,True,False,False,False,False,True,,Late,Early
5,0,903.2881469726562,407.8359375,5,False,False,False,False,False,True,,Late,Early
6,1,547.0242919921875,118.89938354492188,5,False,False,False,False,False,True,,Late,Early
7,2,340.4345397949219,99.31045532226562,5,False,False,False,False,False,True,,Late,Early
8,3,266.1513977050781,204.20556640625,5,False,False,False,False,False,True,,Late,Early
9,4,1238.948974609375,427.88299560546875,5,False,False,False,False,False,True,,Late,Early
10,0,144.10797119140625,81.5581283569336,10,False,False,False,False,False,True,,Late,Early
11,1,46.23712921142578,46.23712921142578,10,False,False,False,False,False,True,,Late,Early
12,2,65.1925277709961,65.1925277709961,10,False,False,False,False,False,True,,Late,Early
13,3,822.0176391601562,608.0205688476562,10,False,False,False,False,False,True,,Late,Early
14,4,183.7668914794922,109.97207641601562,10,False,False,False,False,False,True,,Late,Early
15,5,286.6365051269531,271.86212158203125,10,False,False,False,False,False,True,,Late,Early
16,6,152.65489196777344,152.65489196777344,10,False,False,False,False,False,True,,Late,Early
17,7,345.4159851074219,143.63160705566406,10,False,False,False,False,False,True,,Late,Early
18,8,553.8646850585938,124.8529052734375,10,False,False,False,False,False,True,,Late,Early
19,9,2010.6207275390625,802.51318359375,10,False,False,False,False,False,True,,Late,Early
