,SA1_7DIGIT,Neighbour
451,1101101,1101103
452,1101101,1101137
453,1101101,1101126
454,1101102,1101152
455,1101102,1101145
456,1101102,1101146
457,1101102,1101112
458,1101102,1101118
459,1101102,1101134
460,1101102,1101151
461,1101102,1101135
462,1101102,1101103
463,1101102,1101137
464,1101103,1101152
465,1101103,1101102
466,1101103,1101112
467,1101103,1101105
468,1101103,1101113
469,1101103,1101137
470,1101103,1101101
471,1101103,1101126
472,1101103,1101125
473,1101103,1101107
474,1101104,1154230
475,1101104,1101127
476,1101105,1101106
477,1101105,1101103
478,1101105,1101128
479,1101105,1101119
480,1101105,1101117
481,1101105,1101107
482,1101106,1101105
483,1101106,1101117
484,1101106,1101107
485,1101107,1100708
486,1101107,1101106
487,1101107,1101103
488,1101107,1101105
489,1101107,1101113
490,1101107,1101117
491,1101107,1101116
492,1101108,1101116
493,1101109,1101117
494,1101109,1101116
495,1101109,1101141
496,1101109,1101110
497,1101109,1101111
498,1101110,1101141
499,1101110,1101109
500,1101110,1101111
501,1101110,1101129
502,1101110,1101516
503,1101111,1101117
504,1101111,1101110
505,1101111,1101109
506,1101111,1101129
507,1101111,1101150
508,1101112,1101102
509,1101112,1101118
510,1101112,1100709
511,1101112,1101103
512,1101112,1101113
513,1101113,1101112
514,1101113,1100709
515,1101113,1100708
516,1101113,1101103
517,1101113,1101107
518,1101115,1101120
519,1101115,1101129
520,1101115,1101123
521,1101115,1101150
522,1101116,1100708
523,1101116,1101117
524,1101116,1101107
525,1101116,1101141
526,1101116,1101109
527,1101116,1101520
528,1101116,1101108
529,1101117,1101106
530,1101117,1101105
531,1101117,1101128
532,1101117,1101116
533,1101117,1101107
534,1101117,1101109
535,1101117,1101111
536,1101117,1101150
537,1101118,1101102
538,1101118,1154013
539,1101118,1101112
540,1101118,1154004
541,1101118,1101135
542,1101118,1100709
543,1101118,1100701
544,1101118,1154208
545,1101118,1154211
546,1101119,1101105
547,1101119,1101128
548,1101119,1101014
549,1101119,1101013
550,1101120,1101115
551,1101120,1101150
552,1101122,1101128
553,1101122,1101150
554,1101122,1100809
555,1101122,1101013
556,1101123,1101129
557,1101123,1101115
558,1101125,1101103
559,1101125,1101126
560,1101126,1101152
561,1101126,1101145
562,1101126,1101151
563,1101126,1101142
564,1101126,1101103
565,1101126,1101137
566,1101126,1101101
567,1101126,1101125
568,1101127,1101136
569,1101127,1154209
570,1101127,1154230
571,1101127,1101140
572,1101127,1101130
573,1101127,1101133
574,1101127,1101104
575,1101128,1101122
576,1101128,1101105
577,1101128,1101119
578,1101128,1101117
579,1101128,1101150
580,1101128,1100809
581,1101128,1101013
582,1101129,1101110
583,1101129,1101111
584,1101129,1101123
585,1101129,1101115
586,1101129,1101150
587,1101130,1101139
588,1101130,1101140
589,1101130,1101131
590,1101130,1101133
591,1101130,1101127
592,1101131,1101139
593,1101131,1101132
594,1101131,1101130
595,1101131,1101133
596,1101132,1101139
597,1101132,1101134
598,1101132,1101137
599,1101132,1101131
600,1101132,1101133
601,1101133,1101134
602,1101133,1101136
603,1101133,1101132
604,1101133,1101131
605,1101133,1101130
606,1101133,1101127
607,1101134,1101102
608,1101134,1101136
609,1101134,1101135
610,1101134,1101137
611,1101134,1101132
612,1101134,1101133
613,1101135,1101102
614,1101135,1101118
615,1101135,1101134
616,1101135,1101136
617,1101135,1154209
618,1101135,1154208
619,1101136,1101134
620,1101136,1101135
621,1101136,1154209
622,1101136,1154230
623,1101136,1101133
624,1101136,1101127
625,1101137,1101102
626,1101137,1101139
627,1101137,1101134
628,1101137,1101151
629,1101137,1101103
630,1101137,1101101
631,1101137,1101126
632,1101137,1101140
633,1101137,1101132
634,1101139,1101137
635,1101139,1101140
636,1101139,1101132
637,1101139,1101131
638,1101139,1101130
639,1101140,1101139
640,1101140,1101137
641,1101140,1101130
642,1101140,1101127
643,1101141,1101116
644,1101141,1101110
645,1101141,1101109
646,1101141,1101520
647,1101141,1101516
648,1101142,1101152
649,1101142,1101145
650,1101142,1101126
651,1101143,1101149
652,1101143,1101148
653,1101143,1101150
654,1101143,1101144
655,1101144,1101149
656,1101144,1101150
657,1101144,1101143
658,1101144,1101147
659,1101145,1101152
660,1101145,1101146
661,1101145,1101102
662,1101145,1101151
663,1101145,1101142
664,1101145,1101126
665,1101146,1101152
666,1101146,1101145
667,1101146,1101102
668,1101147,1101149
669,1101147,1101148
670,1101147,1101150
671,1101147,1101144
672,1101148,1101149
673,1101148,1101150
674,1101148,1101143
675,1101148,1101147
676,1101149,1101148
677,1101149,1101143
678,1101149,1101147
679,1101149,1101144
680,1101150,1101226
681,1101150,1101224
682,1101150,1101203
683,1101150,1101231
684,1101150,1101202
685,1101150,1101227
686,1101150,1101122
687,1101150,1101128
688,1101150,1101117
689,1101150,1101120
690,1101150,1101148
691,1101150,1101111
692,1101150,1101129
693,1101150,1101115
694,1101150,1101204
695,1101150,1101206
696,1101150,1101143
697,1101150,1101147
698,1101150,1101144
699,1101150,1100809
700,1101151,1101145
701,1101151,1101102
702,1101151,1101137
703,1101151,1101126
704,1101152,1101145
705,1101152,1101146
706,1101152,1101102
707,1101152,1101142
708,1101152,1101103
709,1101152,1101126
710,1101201,1101226
711,1101201,1101231
712,1101201,1101216
713,1101201,1101223
714,1101201,1101218
715,1101202,1101231
716,1101202,1101232
717,1101202,1101150
718,1101202,1101204
719,1101202,1101206
720,1101203,1101212
721,1101203,1101215
722,1101203,1101222
723,1101203,1101224
724,1101203,1101218
725,1101203,1101150
726,1101203,1100809
727,1101204,1101202
728,1101204,1101227
729,1101204,1101232
730,1101204,1101150
731,1101204,1101206
732,1101205,1101215
733,1101205,1101211
734,1101205,1101210
735,1101205,1101213
736,1101205,1101225
737,1101206,1101202
738,1101206,1101150
739,1101206,1101204
740,1101207,1101217
741,1101207,1101228
742,1101208,1101219
743,1101208,1101217
744,1101208,1101230
745,1101208,1100927
746,1101208,1100904
747,1101208,1100923
748,1101208,1101229
749,1101209,1100807
750,1101209,1101213
751,1101209,1101217
752,1101209,1101225
753,1101209,1101228
754,1101209,1101221
755,1101209,1101220
756,1101210,1101215
757,1101210,1101205
758,1101210,1101213
759,1101210,1101226
760,1101210,1101223
761,1101211,1101212
762,1101211,1101215
763,1101211,1101205
764,1101211,1101225
765,1101211,1100809
766,1101212,1101215
767,1101212,1101211
768,1101212,1101222
769,1101212,1101203
770,1101212,1100809
771,1101213,1101205
772,1101213,1101210
773,1101213,1101217
774,1101213,1101225
775,1101213,1101226
776,1101213,1101209
777,1101214,1101224
778,1101214,1101216
779,1101214,1101227
780,1101214,1101218
781,1101214,1101232
782,1101215,1101212
783,1101215,1101211
784,1101215,1101205
785,1101215,1101210
786,1101215,1101222
787,1101215,1101203
788,1101215,1101223
789,1101216,1101231
790,1101216,1101201
791,1101216,1101218
792,1101216,1101214
793,1101216,1101232
794,1101217,1101213
795,1101217,1101226
796,1101217,1101230
797,1101217,1100927
798,1101217,1101208
799,1101217,1101207
800,1101217,1101228
801,1101217,1101221
802,1101217,1101229
803,1101217,1101209
804,1101218,1101222
805,1101218,1101224
806,1101218,1101203
807,1101218,1101216
808,1101218,1101201
809,1101218,1101223
810,1101218,1101214
811,1101219,1100918
812,1101219,1100807
813,1101219,1100916
814,1101219,1100905
815,1101219,1100904
816,1101219,1101208
817,1101219,1101229
818,1101219,1101220
819,1101220,1100807
820,1101220,1101219
821,1101220,1101221
822,1101220,1101229
823,1101220,1101209
824,1101221,1101217
825,1101221,1101228
826,1101221,1101229
827,1101221,1101209
828,1101221,1101220
829,1101222,1101212
830,1101222,1101215
831,1101222,1101203
832,1101222,1101223
833,1101222,1101218
834,1101223,1101215
835,1101223,1101210
836,1101223,1101226
837,1101223,1101222
838,1101223,1101201
839,1101223,1101218
840,1101224,1101203
841,1101224,1101227
842,1101224,1101218
843,1101224,1101214
844,1101224,1101150
845,1101225,1100807
846,1101225,1100823
847,1101225,1100808
848,1101225,1101211
849,1101225,1101205
850,1101225,1101213
851,1101225,1100809
852,1101225,1101209
853,1101226,1101210
854,1101226,1101213
855,1101226,1101217
856,1101226,1101231
857,1101226,1101201
858,1101226,1101223
859,1101226,1101150
860,1101227,1101224
861,1101227,1101214
862,1101227,1101232
863,1101227,1101150
864,1101227,1101204
865,1101228,1101217
866,1101228,1101207
867,1101228,1101221
868,1101228,1101209
869,1101229,1101219
870,1101229,1101217
871,1101229,1101230
872,1101229,1101208
873,1101229,1101221
874,1101229,1101220
875,1101230,1101217
876,1101230,1101208
877,1101230,1101229
878,1101231,1101226
879,1101231,1101202
880,1101231,1101216
881,1101231,1101201
882,1101231,1101232
883,1101231,1101150
884,1101232,1101231
885,1101232,1101202
886,1101232,1101216
887,1101232,1101227
888,1101232,1101214
889,1101232,1101204
890,1101301,1101306
891,1101302,1101303
892,1101302,1101305
893,1101302,1101308
894,1101302,1101304
895,1101303,1101302
896,1101303,1101305
897,1101303,1101308
898,1101303,1101304
899,1101304,1101302
900,1101304,1101303
901,1101304,1101305
902,1101304,1101308
903,1101305,1101302
904,1101305,1101303
905,1101305,1101308
906,1101305,1101505
907,1101305,1101307
908,1101305,1101304
909,1101305,1101517
910,1101305,1101523
911,1101305,1101306
912,1101305,1101610
913,1101306,1101305
914,1101306,1101308
915,1101306,1101301
916,1101306,1101610
917,1101306,1101608
918,1101306,1101612
919,1101307,1102201
920,1101307,1102012
921,1101307,1101305
922,1101307,1101308
923,1101307,1101517
924,1101307,1102032
925,1101308,1101302
926,1101308,1101303
927,1101308,1101305
928,1101308,1101307
929,1101308,1101304
930,1101308,1101306
931,1101308,1102010
932,1101308,1102032
933,1101401,1101413
934,1101401,1101415
935,1101401,1101402
936,1101401,1101411
937,1101401,1101419
938,1101401,1101418
939,1101402,1101413
940,1101402,1101401
941,1101402,1101404
942,1101402,1101419
943,1101402,1101412
944,1101403,1101407
945,1101403,1101410
946,1101403,1101411
947,1101403,1101418
948,1101404,1101402
949,1101404,1101411
950,1101404,1101419
951,1101404,1101406
952,1101404,1101405
953,1101404,1101418
954,1101404,1101412
955,1101404,1101417
956,1101404,1101408
957,1101405,1101404
958,1101405,1101409
959,1101405,1101410
960,1101405,1101411
961,1101405,1101406
962,1101406,1101404
963,1101406,1101409
964,1101406,1101405
965,1101406,1101418
966,1101407,1101403
967,1101407,1101409
968,1101407,1101410
969,1101407,1101418
970,1101408,1101404
971,1101408,1101418
972,1101408,1101412
973,1101408,1101417
974,1101409,1101407
975,1101409,1101410
976,1101409,1101406
977,1101409,1101405
978,1101409,1101418
979,1101410,1101407
980,1101410,1101403
981,1101410,1101409
982,1101410,1101411
983,1101410,1101405
984,1101411,1101401
985,1101411,1101404
986,1101411,1101403
987,1101411,1101410
988,1101411,1101419
989,1101411,1101405
990,1101411,1101418
991,1101412,1101413
992,1101412,1101404
993,1101412,1101402
994,1101412,1101418
995,1101412,1101408
996,1101413,1101415
997,1101413,1101414
998,1101413,1101401
999,1101413,1101402
1000,1101413,1101418
1001,1101413,1101412
1002,1101414,1101413
1003,1101414,1101415
1004,1101414,1101418
1005,1101415,1101413
1006,1101415,1101414
1007,1101415,1101401
1008,1101415,1101418
1009,1101417,1101404
1010,1101417,1101418
1011,1101417,1101408
1012,1101418,1101413
1013,1101418,1101415
1014,1101418,1101414
1015,1101418,1101401
1016,1101418,1101404
1017,1101418,1101407
1018,1101418,1101403
1019,1101418,1101409
1020,1101418,1101411
1021,1101418,1101406
1022,1101418,1101519
1023,1101418,1101521
1024,1101418,1101412
1025,1101418,1101417
1026,1101418,1101408
1027,1101418,1101514
1028,1101418,1101523
1029,1101418,1101518
1030,1101419,1101401
1031,1101419,1101404
1032,1101419,1101402
1033,1101419,1101411
1034,1101501,1101603
1035,1101501,1101518
1036,1101501,1101502
1037,1101501,1101524
1038,1101502,1126015
1039,1101502,1101603
1040,1101502,1101501
1041,1101502,1101524
1042,1101502,1101512
1043,1101502,1126205
1044,1101503,1101505
1045,1101505,1101503
1046,1101505,1101305
1047,1101505,1101514
1048,1101505,1101517
1049,1101505,1101523
1050,1101511,1101524
1051,1101512,1101522
1052,1101512,1101521
1053,1101512,1101518
1054,1101512,1101502
1055,1101512,1101524
1056,1101512,1126205
1057,1101514,1101418
1058,1101514,1101521
1059,1101514,1101505
1060,1101514,1101515
1061,1101514,1101517
1062,1101514,1101523
1063,1101515,1101520
1064,1101515,1101521
1065,1101515,1101514
1066,1101515,1101517
1067,1101516,1101141
1068,1101516,1101110
1069,1101516,1101520
1070,1101516,1101522
1071,1101517,1101520
1072,1101517,1102201
1073,1101517,1101305
1074,1101517,1101505
1075,1101517,1101307
1076,1101517,1101514
1077,1101517,1101515
1078,1101518,1101519
1079,1101518,1101418
1080,1101518,1101521
1081,1101518,1101523
1082,1101518,1101603
1083,1101518,1101501
1084,1101518,1101524
1085,1101518,1101512
1086,1101519,1101418
1087,1101519,1101521
1088,1101519,1101518
1089,1101520,1100708
1090,1101520,1101116
1091,1101520,1101141
1092,1101520,1101516
1093,1101520,1101522
1094,1101520,1101521
1095,1101520,1102201
1096,1101520,1101515
1097,1101520,1101517
1098,1101521,1101520
1099,1101521,1101519
1100,1101521,1101418
1101,1101521,1101522
1102,1101521,1101514
1103,1101521,1101515
1104,1101521,1101518
1105,1101521,1101512
1106,1101522,1101520
1107,1101522,1101516
1108,1101522,1101521
1109,1101522,1101512
1110,1101523,1101418
1111,1101523,1101305
1112,1101523,1101505
1113,1101523,1101514
1114,1101523,1101606
1115,1101523,1101603
1116,1101523,1101518
1117,1101523,1101610
1118,1101523,1101607
1119,1101524,1101518
1120,1101524,1101501
1121,1101524,1101502
1122,1101524,1101512
1123,1101524,1101511
1124,1101601,1101612
1125,1101602,1101606
1126,1101602,1101619
1127,1101602,1101603
1128,1101603,1126015
1129,1101603,1101523
1130,1101603,1101606
1131,1101603,1101602
1132,1101603,1101619
1133,1101603,1101604
1134,1101603,1101518
1135,1101603,1101501
1136,1101603,1101502
1137,1101603,1101612
1138,1101604,1101618
1139,1101604,1101606
1140,1101604,1101603
1141,1101604,1101605
1142,1101604,1101612
1143,1101605,1101618
1144,1101605,1101606
1145,1101605,1101604
1146,1101605,1101609
1147,1101605,1101614
1148,1101605,1101617
1149,1101605,1101620
1150,1101605,1101610
1151,1101605,1101608
1152,1101605,1101612
1153,1101606,1101523
1154,1101606,1101618
1155,1101606,1101602
1156,1101606,1101619
1157,1101606,1101604
1158,1101606,1101603
1159,1101606,1101605
1160,1101606,1101609
1161,1101606,1101610
1162,1101606,1101607
1163,1101607,1101523
1164,1101607,1101606
1165,1101607,1101610
1166,1101608,1101605
1167,1101608,1101306
1168,1101608,1101610
1169,1101608,1101612
1170,1101609,1101618
1171,1101609,1101613
1172,1101609,1101606
1173,1101609,1101605
1174,1101609,1101614
1175,1101609,1101616
1176,1101609,1101615
1177,1101609,1101617
1178,1101609,1101610
1179,1101610,1101305
1180,1101610,1101523
1181,1101610,1101613
1182,1101610,1101606
1183,1101610,1101605
1184,1101610,1101609
1185,1101610,1101306
1186,1101610,1101608
1187,1101610,1101607
1188,1101611,1101612
1189,1101612,1126015
1190,1101612,1101604
1191,1101612,1101603
1192,1101612,1101601
1193,1101612,1101605
1194,1101612,1101306
1195,1101612,1101608
1196,1101612,1101611
1197,1101613,1101609
1198,1101613,1101610
1199,1101614,1101605
1200,1101614,1101609
1201,1101614,1101616
