src_SA2_MAIN16,nbr_SA2_MAIN16
103021065,103021067
103021065,103021062
103021065,103021068
103021066,103021064
103021066,103021069
103021066,103021065
103021066,101061544
103021067,103021065
103021067,103021068
103021068,103041079
103021068,105031105
103021068,105031103
103021068,103021065
103021068,103021067
103021068,103021062
103021069,103021066
103021069,103021065
103021069,113011257
103021069,103021062
103021069,113011259
103021069,113031266
103021069,101061544
103031070,103031075
103031070,103031071
103031071,103031073
103031071,103031070
103031071,103031075
103031071,103011060
103031071,103011061
103031071,124011449
103031072,103031074
103031073,103031074
103031073,106041127
103031073,106041129
103031073,103031075
103031073,103011060
103031073,103031071
103031074,103031072
103031074,103031073
103031074,105031099
103031074,106041129
103031074,103011060
103031074,103041079
103031074,105031106
103031074,105031103
103031075,103031073
103031075,106011113
103031075,106041127
103031075,103031070
103031075,124011451
103031075,115031299
103031075,103031071
103031075,124011449
103041076,103011060
103041076,103021064
103041076,103041079
103041077,103041078
103041077,103041079
103041078,103041077
103041078,103041079
103041079,103031074
103041079,103041076
103041079,103041078
103041079,103041077
103041079,103011060
103041079,103021064
103041079,105031106
103041079,105031103
103041079,103021065
103041079,103021068
104011080,104011081
104011081,104021091
104011081,104011082
104011081,110021194
104011081,110021190
104011081,112021245
104011081,104011080
104011081,104021086
104011081,110011187
104011081,104021087
104011082,112011241
104011082,104011081
104011082,112021245
104021083,104021089
104021083,104021090
104021083,104021086
104021083,110011187
104021083,108021156
104021083,108021159
104021083,104021087
104021084,104021088
104021084,104021085
104021084,104021086
104021085,104021089
104021085,104021086
104021085,104021084
104021086,104021088
104021086,104021091
104021086,104021089
104021086,104021085
104021086,104011081
104021086,104021084
104021086,104021083
104021086,104021087
104021087,104011081
104021087,104021086
104021087,110011187
104021087,104021083
104021088,104021091
104021088,104021086
104021088,104021084
104021089,104021085
104021089,104021090
104021089,104021086
104021089,104021083
104021090,104021089
104021090,104021083
104021090,108021159
104021091,104021088
104021091,104011081
104021091,104021086
105011092,105021098
105011092,105011093
105011092,105011095
105011092,105011096
105011093,113011257
105011093,105021098
105011093,105011092
105011093,103021062
105011093,105011095
105011094,105031099
105011094,110031198
105011094,105031105
105011094,105031104
105011094,105011095
105011094,105011096
105011095,105011094
105011095,105031105
105011095,105011093
105011095,105011092
105011095,103021062
105011095,105011096
105011096,110031196
105011096,110031198
105011096,105011094
105011096,105011092
105011096,105011095
105021097,105021098
105021098,109021177
105021098,109021179
105021098,113011257
105021098,105021097
105021098,105011093
105021098,105011092
105031099,103031074
105031099,110031198
105031099,110041200
105031099,106041129
105031099,110041201
105031099,105011094
105031099,105031104
105031099,105031103
105031100,105031101
105031100,105031102
105031100,105031103
105031101,105031100
105031101,105031102
105031101,105031103
105031102,105031101
105031102,105031100
105031102,105031103
105031103,103031074
105031103,105031099
105031103,103041079
105031103,105031106
105031103,105031101
105031103,105031100
105031103,105031102
105031103,105031105
105031103,105031104
105031103,103021068
105031104,105031099
105031104,105011094
105031104,105031105
105031104,105031103
105031105,105011094
105031105,105031104
105031105,105031103
105031105,103021062
105031105,105011095
105031105,103021068
105031106,103031074
105031106,103041079
105031106,105031103
106011107,106011109
106011107,106011113
106011107,106011108
106011107,106011111
106011107,106021117
106011107,106011112
106011108,106011109
106011108,106011107
106011108,106011111
106011109,106011113
106011109,106021118
106011109,106021114
106011109,106021115
106011109,106011108
106011109,106011107
106011109,106011111
106011109,102011030
106011109,111031226
106011109,111031223
106011109,115031299
106011109,111021221
106011109,102021049
106011109,111021218
106011110,106011113
106011110,106041129
106011110,108011151
106011110,106021116
106011110,106031123
106011110,106031125
106011110,108051167
106011110,106021117
106011111,106011109
106011111,106021114
106011111,106011108
106011111,106011107
106011111,106021117
