,SA2_MAIN16,Neighbour0
471,105031105,105031104
472,105031105,105031103
473,105031105,103021062
474,105031105,105011095
475,105031105,103021068
476,105031106,103031074
477,105031106,103041079
478,105031106,105031103
479,106011107,106011109
480,106011107,106011113
481,106011107,106011108
482,106011107,106011111
483,106011107,106021117
484,106011107,106011112
485,106011108,106011109
486,106011108,106011107
487,106011108,106011111
488,106011109,106011113
489,106011109,106021118
490,106011109,106021114
491,106011109,106021115
492,106011109,106011108
493,106011109,106011107
494,106011109,106011111
495,106011109,102011030
496,106011109,111031226
497,106011109,111031223
498,106011109,115031299
499,106011109,111021221
500,106011109,102021049
501,106011109,111021218
502,106011110,106011113
503,106011110,106041129
504,106011110,108011151
505,106011110,106021116
506,106011110,106031123
507,106011110,106031125
508,106011110,108051167
509,106011110,106021117
510,106011111,106011109
511,106011111,106021114
512,106011111,106011108
513,106011111,106011107
514,106011111,106021117
515,106011112,106011113
516,106011112,106011107
517,106011113,106011109
518,106011113,106041127
519,106011113,106041126
520,106011113,106041129
521,106011113,106011110
522,106011113,106011107
523,106011113,106021117
524,106011113,106011112
525,106011113,103031075
526,106011113,115031299
527,106021114,106011109
528,106021114,106021116
529,106021114,106021115
530,106021114,106011111
531,106021114,106021117
532,106021115,106011109
533,106021115,106021118
534,106021115,106021114
535,106021115,106021116
536,106021115,106031123
537,106021116,106021114
538,106021116,106021115
539,106021116,106031123
540,106021116,106011110
541,106021116,106021117
542,106021117,106011113
543,106021117,106021114
544,106021117,106021116
545,106021117,106011110
546,106021117,106011107
547,106021117,106011111
548,106021118,106011109
549,106021118,106021115
550,106021118,106031122
551,106021118,106031123
552,106021118,111031223
553,106031119,106031120
554,106031119,106031121
555,106031119,106031125
556,106031120,106031119
557,106031120,106031121
558,106031120,106031125
559,106031121,106031120
560,106031121,106031119
561,106031122,106021118
562,106031122,106031123
563,106031122,106031125
564,106031122,111031223
565,106031123,106021118
566,106031123,106021116
567,106031123,106021115
568,106031123,106031122
569,106031123,106011110
570,106031123,106031125
571,106031124,108011151
572,106031124,106031125
573,106031125,106031124
574,106031125,108011151
575,106031125,106031120
576,106031125,106031119
577,106031125,106031122
578,106031125,106031123
579,106031125,106011110
580,106031125,111031232
581,106041126,106011113
582,106041126,106041127
583,106041127,103031073
584,106041127,106011113
585,106041127,106041126
586,106041127,106041129
587,106041127,103031075
588,106041128,106041129
589,106041129,103031073
590,106041129,103031074
591,106041129,105031099
592,106041129,110011189
593,106041129,106011113
594,106041129,106041127
595,106041129,106041128
596,106041129,110041201
597,106041129,110041205
598,106041129,106011110
599,106041129,108051167
600,107011131,107011132
601,107011131,107011545
602,107011131,107031136
603,107011131,107031137
604,107011131,107021135
605,107011132,107011545
606,107011132,107011134
607,107011132,107021135
608,107011132,107011131
609,107011133,107011545
610,107011133,107041548
611,107011133,107011546
612,107011133,107011134
613,107011133,107041549
614,107011134,107011132
615,107011134,107011545
616,107011134,107041146
617,107011134,107011133
618,107011134,107041549
619,107011134,107021135
620,107011545,107011132
621,107011545,107011546
622,107011545,107011133
623,107011545,107011134
624,107011545,107011131
625,107011546,107011545
626,107011546,107011547
627,107011546,107011133
628,107011547,107011546
629,107021135,107041147
630,107021135,107011132
631,107021135,107041146
632,107021135,107041144
633,107021135,107041145
634,107021135,107041148
635,107021135,107041150
636,107021135,114021288
637,107021135,107031136
638,107021135,107011134
639,107021135,114021285
640,107021135,114021286
641,107021135,123031445
642,107021135,123031446
643,107021135,107011131
644,107031136,107031140
645,107031136,114021288
646,107031136,107031141
647,107031136,107031137
648,107031136,107021135
649,107031136,107011131
650,107031137,107031141
651,107031137,107031136
652,107031137,107031142
653,107031137,107011131
654,107031138,107031140
655,107031138,107031139
656,107031139,107031140
657,107031139,107031138
658,107031139,107031141
659,107031140,114011272
660,107031140,107031138
661,107031140,114021288
662,107031140,107031139
663,107031140,107031141
664,107031140,107031136
665,107031141,107031140
666,107031141,107031139
667,107031141,107031136
668,107031141,107031137
669,107031141,107031142
670,107031141,107031143
671,107031142,107031141
672,107031142,107031137
673,107031142,107031143
674,107031143,107031141
675,107031143,107031142
676,107041144,107041146
677,107041144,107041145
678,107041144,107041548
679,107041144,107041549
680,107041144,107021135
681,107041145,107041144
682,107041145,107041150
683,107041145,107021135
684,107041146,107041144
685,107041146,107011134
686,107041146,107041549
687,107041146,107021135
688,107041147,123021439
689,107041147,128021533
690,107041147,128021537
691,107041147,107041148
692,107041147,107021135
693,107041147,123031446
694,107041148,107041147
695,107041148,107041150
696,107041148,107021135
697,107041150,107041145
698,107041150,107041148
699,107041150,107021135
700,107041548,107041144
701,107041548,107011133
702,107041548,107041549
703,107041549,107041146
704,107041549,107041144
705,107041549,107041548
706,107041549,107011133
707,107041549,107011134
708,108011151,108051170
709,108011151,106031124
710,108011151,108011153
711,108011151,106011110
712,108011151,106031125
713,108011151,108051167
714,108011152,108011153
715,108011152,108011154
716,108011153,108051168
