src_SA1_7DIG16,nbr_SA1_7DIG16
1101219,1100916
1101219,1100905
1101219,1100904
1101219,1101208
1101219,1101229
1101219,1101220
1101220,1100807
1101220,1101219
1101220,1101221
1101220,1101229
1101220,1101209
1101221,1101217
1101221,1101228
1101221,1101229
1101221,1101209
1101221,1101220
1101222,1101212
1101222,1101215
1101222,1101203
1101222,1101223
1101222,1101218
1101223,1101215
1101223,1101210
1101223,1101226
1101223,1101222
1101223,1101201
1101223,1101218
1101224,1101203
1101224,1101227
1101224,1101218
1101224,1101214
1101224,1101150
1101225,1100807
1101225,1100823
1101225,1100808
1101225,1101211
1101225,1101205
1101225,1101213
1101225,1100809
1101225,1101209
1101226,1101210
1101226,1101213
1101226,1101217
1101226,1101231
1101226,1101201
1101226,1101223
1101226,1101150
1101227,1101224
1101227,1101214
1101227,1101232
1101227,1101150
1101227,1101204
1101228,1101217
1101228,1101207
1101228,1101221
1101228,1101209
1101229,1101219
1101229,1101217
1101229,1101230
1101229,1101208
1101229,1101221
1101229,1101220
1101230,1101217
1101230,1101208
1101230,1101229
1101231,1101226
1101231,1101202
1101231,1101216
1101231,1101201
1101231,1101232
1101231,1101150
1101232,1101231
1101232,1101202
1101232,1101216
1101232,1101227
1101232,1101214
1101232,1101204
1101301,1101306
1101302,1101303
1101302,1101305
1101302,1101308
1101302,1101304
1101303,1101302
1101303,1101305
1101303,1101308
1101303,1101304
1101304,1101302
1101304,1101303
1101304,1101305
1101304,1101308
1101305,1101302
1101305,1101303
1101305,1101308
1101305,1101505
1101305,1101307
1101305,1101304
1101305,1101517
1101305,1101523
1101305,1101306
1101305,1101610
1101306,1101305
1101306,1101308
1101306,1101301
1101306,1101610
1101306,1101608
1101306,1101612
1101307,1102201
1101307,1102012
1101307,1101305
1101307,1101308
1101307,1101517
1101307,1102032
1101308,1101302
1101308,1101303
1101308,1101305
1101308,1101307
1101308,1101304
1101308,1101306
1101308,1102010
1101308,1102032
1101401,1101413
1101401,1101415
1101401,1101402
1101401,1101411
1101401,1101419
1101401,1101418
1101402,1101413
1101402,1101401
1101402,1101404
1101402,1101419
1101402,1101412
1101403,1101407
1101403,1101410
1101403,1101411
1101403,1101418
1101404,1101402
1101404,1101411
1101404,1101419
1101404,1101406
1101404,1101405
1101404,1101418
1101404,1101412
1101404,1101417
1101404,1101408
1101405,1101404
1101405,1101409
1101405,1101410
1101405,1101411
1101405,1101406
1101406,1101404
1101406,1101409
1101406,1101405
1101406,1101418
1101407,1101403
1101407,1101409
1101407,1101410
1101407,1101418
1101408,1101404
1101408,1101418
1101408,1101412
1101408,1101417
1101409,1101407
1101409,1101410
1101409,1101406
1101409,1101405
1101409,1101418
1101410,1101407
1101410,1101403
1101410,1101409
1101410,1101411
1101410,1101405
1101411,1101401
1101411,1101404
1101411,1101403
1101411,1101410
1101411,1101419
1101411,1101405
1101411,1101418
1101412,1101413
1101412,1101404
1101412,1101402
1101412,1101418
1101412,1101408
1101413,1101415
1101413,1101414
1101413,1101401
1101413,1101402
1101413,1101418
1101413,1101412
1101414,1101413
1101414,1101415
1101414,1101418
1101415,1101413
1101415,1101414
1101415,1101401
1101415,1101418
1101417,1101404
1101417,1101418
1101417,1101408
1101418,1101413
1101418,1101415
1101418,1101414
1101418,1101401
1101418,1101404
1101418,1101407
1101418,1101403
1101418,1101409
1101418,1101411
1101418,1101406
1101418,1101519
1101418,1101521
1101418,1101412
1101418,1101417
1101418,1101408
1101418,1101514
1101418,1101523
1101418,1101518
1101419,1101401
1101419,1101404
1101419,1101402
1101419,1101411
1101501,1101603
1101501,1101518
1101501,1101502
1101501,1101524
1101502,1126015
1101502,1101603
1101502,1101501
1101502,1101524
1101502,1101512
1101502,1126205
1101503,1101505
1101505,1101503
1101505,1101305
1101505,1101514
1101505,1101517
1101505,1101523
1101511,1101524
1101512,1101522
1101512,1101521
1101512,1101518
1101512,1101502
1101512,1101524
1101512,1126205
1101514,1101418
1101514,1101521
1101514,1101505
1101514,1101515
1101514,1101517
1101514,1101523
1101515,1101520
1101515,1101521
1101515,1101514
1101515,1101517
1101516,1101141
1101516,1101110
1101516,1101520
1101516,1101522
1101517,1101520
1101517,1102201
1101517,1101305
1101517,1101505
1101517,1101307
1101517,1101514
1101517,1101515
1101518,1101519
1101518,1101418
1101518,1101521
1101518,1101523
1101518,1101603
1101518,1101501
1101518,1101524
1101518,1101512
1101519,1101418
1101519,1101521
1101519,1101518
1101520,1100708
1101520,1101116
1101520,1101141
1101520,1101516
1101520,1101522
1101520,1101521
1101520,1102201
1101520,1101515
1101520,1101517
1101521,1101520
1101521,1101519
1101521,1101418
1101521,1101522
1101521,1101514
1101521,1101515
1101521,1101518
1101521,1101512
1101522,1101520
1101522,1101516
1101522,1101521
1101522,1101512
1101523,1101418
1101523,1101305
1101523,1101505
1101523,1101514
1101523,1101606
1101523,1101603
1101523,1101518
1101523,1101610
1101523,1101607
1101524,1101518
1101524,1101501
1101524,1101502
1101524,1101512
1101524,1101511
1101601,1101612
1101602,1101606
1101602,1101619
1101602,1101603
1101603,1126015
1101603,1101523
1101603,1101606
1101603,1101602
1101603,1101619
1101603,1101604
1101603,1101518
1101603,1101501
1101603,1101502
1101603,1101612
1101604,1101618
1101604,1101606
1101604,1101603
1101604,1101605
1101604,1101612
1101605,1101618
1101605,1101606
1101605,1101604
1101605,1101609
1101605,1101614
1101605,1101617
1101605,1101620
1101605,1101610
1101605,1101608
1101605,1101612
1101606,1101523
1101606,1101618
1101606,1101602
1101606,1101619
1101606,1101604
1101606,1101603
1101606,1101605
1101606,1101609
1101606,1101610
1101606,1101607
1101607,1101523
1101607,1101606
1101607,1101610
1101608,1101605
1101608,1101306
1101608,1101610
1101608,1101612
1101609,1101618
1101609,1101613
1101609,1101606
1101609,1101605
1101609,1101614
1101609,1101616
1101609,1101615
1101609,1101617
1101609,1101610
1101610,1101305
1101610,1101523
1101610,1101613
1101610,1101606
1101610,1101605
