SA2_2016_CODE,SA2_NAME,Employed_persons_working,Average_commuting_distance,Median_commuting_distance,interquartile_range_distance,standard_deviation_distance
310041300,Goodna,2262,14.78,10.79,14.09,15.96
310041301,New Chum,131,22.88,14.13,20.57,25.69
310041302,Redbank Plains,1740,16.14,9.4,20.79,21.43
310041303,Springfield,1759,15.31,11.71,18.12,15.6
310041304,Springfield Lakes,4339,16.25,12.23,19.4,16.95
311011305,Beaudesert,5116,21.68,14.69,30.22,24.56
311021306,Beenleigh,6434,18.75,13.86,24.26,17.28
311021307,Eagleby,1227,15.69,8.85,23.23,18.18
311021308,Edens Landing - Holmview,978,12.37,7.02,12.89,18.91
311021309,Mount Warren Park,938,13.92,8.75,21.13,15.07
311021310,Wolffdene - Bahrs Scrub,675,11.93,2.48,19.7,18.25
311031311,Boronia Heights - Park Ridge,2360,13.26,9.51,14.63,16.06
311031312,Browns Plains,5546,15.01,10.58,15.68,14.94
311031313,Chambers Flat - Logan Reserve,572,10.33,3.35,14.72,15.59
311031314,Crestmead,4733,19.06,14.24,21.53,17.18
311031315,Greenbank Military Camp,8,28.28,16.5,12.5,35.68
311031316,Hillcrest,2194,15.23,10.93,18.64,16.08
311031317,Marsden,1609,11.56,6.79,12.8,15.26
311031318,Munruben - Park Ridge South,405,9.42,0,13.7,16.46
311031319,Regents Park - Heritage Park,1161,9.28,3.23,14.35,14.16
311041320,Greenbank,1654,12.21,7.67,18.34,18.16
311041321,Jimboomba,3692,16.45,10.16,23.06,20.09
311041322,Logan Village,1459,15.59,11.98,20.13,17.01
311051323,Bethania - Waterford,1958,14.85,10.67,17.85,15.56
311051324,Cornubia - Carbrook,1802,13.43,9.25,19.73,15.53
311051325,Loganholme - Tanah Merah,6477,21.67,17.52,23.44,19.99
311051326,Loganlea,7068,20.2,15.47,20.59,17.71
311051327,Shailer Park,4175,17,11.96,20.56,18.97
311051328,Waterford West,1256,12.82,8.83,15,13.21
311061329,Daisy Hill,2293,16.53,11.55,20.35,18.82
311061330,Kingston (Qld.),2372,17.44,12.27,19.95,17.77
311061331,Logan Central,4641,17,11.77,17.66,15.25
311061332,Rochedale South - Priestdale,1494,9.69,4.64,15.26,13.88
311061333,Slacks Creek,5514,19.02,13.5,19.4,17.52
311061334,Springwood,5391,17.78,12.82,18.44,18.75
311061335,Underwood,6121,17.7,12.89,17.27,17.36
311061336,Woodridge,2382,15.37,10.56,16.76,15.82
312011337,Bowen,2717,8.17,3.27,4.08,23.3
312011338,Broadsound - Nebo,6274,95.49,91.58,119.64,71.76
312011339,Clermont,2029,56.8,28.25,115.69,63.71
312011340,Collinsville,2592,64.67,24.17,91.48,69.76
312011341,Moranbah,5345,68.73,8.95,166.3,90.72
312021342,Andergrove - Beaconsfield,1967,8.63,5.11,8.12,13.28
312021343,East Mackay,585,7.96,4.93,9.5,10.02
312021344,Eimeo - Rural View,1493,7.97,4.72,8.93,12.7
312021345,Eungella Hinterland,4,38.83,29.5,59.5,47.2
312021346,Mackay,10638,12.25,7.77,11.06,15.68
312021347,Mackay Harbour,439,16.37,9.96,10.23,18.45
312021348,Mount Pleasant - Glenella,3417,10.6,6.87,8.48,15.39
312021349,North Mackay,2806,10.26,6.24,8.12,13.97
312021350,Ooralea - Bakers Creek,8790,16.06,12.65,12.73,19.09
312021351,Pioneer Valley,1653,17.76,12.45,27.92,19.48
312021352,Sarina,3771,22.99,17.95,29.93,23.06
312021353,Seaforth - Calen,1321,21.33,14.04,32.81,27.02
312021354,Shoal Point - Bucasia,381,7.94,2.3,10.22,16.63
312021355,Slade Point,889,13.38,8.8,8.68,20.54
312021356,South Mackay,1135,10.42,6.7,11.22,14.76
312021357,Walkerston - Eton,1592,15.81,13.19,22.93,18.63
312021358,West Mackay,3484,11.44,7.56,10.82,15.37
312031359,Airlie - Whitsundays,6024,10.66,3.87,9.4,18.29
312031360,Cape Conway,0,0,0,0,0
312031361,Proserpine,2855,14.66,9.39,20.21,21.04
313011362,Beachmere - Sandstone Point,1712,16.05,9.02,22.3,22.07
313011363,Bribie Island,3576,14.01,5.54,12.11,21.06
313021364,Burpengary - East,608,11.91,5.45,14.18,19.94
313021365,Caboolture,12841,20.28,14.82,21.78,19.8
313021366,Caboolture - South,6563,13.82,8.14,14.84,15.37
313021367,Elimbah,849,13.72,8.94,17.11,17.04
313021368,Morayfield - East,987,16.55,10.74,22.22,17.54
313021369,Wamuran,1359,14.53,12.15,15.05,16.45
313031370,Kilcoy,2020,27.6,13.18,44.64,34
313031371,Woodford - D'Aguilar,1905,23.7,18.45,33.14,24.79
313041372,Burpengary,3549,13.43,8.01,13.4,16.68
313041373,Deception Bay,5241,15.68,10.76,14.45,18.92
313041374,Morayfield,616,9.56,3.47,11.41,17.2
313041375,Narangba,3787,14.39,9.36,14.85,17.39
313041376,Upper Caboolture,282,7.11,0,6.08,17.17
313051377,Clontarf,3614,13.73,7.94,15.32,17.32
313051378,Margate - Woody Point,1788,10.08,3.85,13.58,15.22
313051379,Redcliffe,5795,18.96,12.13,19.22,25.84
313051380,Rothwell - Kippa-Ring,5559,13.29,7.63,14.32,17.34
313051542,Scarborough - Newport - Moreton Island,2007,17.81,5.56,20.69,29.23
314011382,Albany Creek,3225,9.41,6.72,9.79,13.48
314011383,Cashmere,2297,10.15,3.62,13.04,19.19
314011384,Dayboro,1268,11.17,4.5,18.3,16.75
314011385,Eatons Hill,916,6.98,2.89,10.14,10.78
314011386,The Hills District,3961,9.61,4.74,12.01,14.78
314011387,Samford Valley,2297,10.81,6.67,15.28,15.76
314021388,Dakabin - Kallangur,3430,11.97,6.7,13.83,16.74
314021389,Murrumba Downs - Griffin,1727,11.19,5.8,14.23,17.09
314021390,North Lakes - Mango Hill,10248,14.54,9.17,14.81,17.87
314031391,Bray Park,1327,9.36,5.03,12.52,12.38
314031392,Lawnton,2830,15.7,11.21,13.93,17.86
314031393,Petrie,1710,11.85,8.13,13.9,14.63
314031394,Strathpine - Brendale,14459,17.43,11.95,13.64,17.89
315011395,Aurukun,210,5.31,0,0,34.23
315011396,Cape York,2755,38.53,5.1,35.14,62.85
315011397,Croydon - Etheridge,362,44.26,8.14,93.1,59.81
315011398,Kowanyama - Pormpuraaw,410,6.3,0,0,31.48
315011399,Northern Peninsula,761,2.97,0.32,4.69,5.67
315011400,Tablelands,1553,42.36,23.85,71.71,50.2
315011401,Torres,1339,5.72,1.34,2.2,24.95
315011402,Torres Strait Islands,860,109.69,105.91,137.19,78.38
315011403,Weipa,967,3.73,3.73,3.27,5.96
315021404,Carpentaria,1353,23.35,0,3.97,51.58
315021405,Mount Isa,7984,3.54,2.9,2.14,8.65
315021406,Mount Isa Region,2089,43.82,11.73,18.48,67.83
315021407,Northern Highlands,1492,43.14,1.72,88.14,61.06
315031408,Barcaldine - Blackall,2132,50.64,1.79,101.98,68.74
315031409,Charleville,1875,24.27,1.88,44.32,41.82
315031410,Far Central West,916,32.6,0.82,44.52,61.05
315031411,Far South West,1222,44.23,1.19,88.72,66.52
315031412,Longreach,1770,18.68,1.53,9.96,40.9
316011413,Buderim - North,8937,16.34,11.27,14.15,20.6
316011414,Buderim - South,4027,11.06,5.91,13.57,17.84
316011415,Mountain Creek,1726,9.42,4.98,11.7,16.36
316011416,Sippy Downs,3371,15.34,9.4,13.76,20.34
316021417,Aroona - Currimundi,1986,9.87,4.07,8.8,19.58
316021418,Buddina - Minyama,3054,12.5,7.91,10.56,17.9
316021419,Caloundra - Kings Beach,6318,14.27,6.42,15.49,19.7
316021420,Caloundra - West,4706,13.18,6.09,14.64,18.9
316021421,Golden Beach - Pelican Waters,1832,10.1,4.45,9.93,18.17
316021422,Moffat Beach - Battery Hill,1711,9.26,3.74,8.74,16.98
316021423,Parrearra - Warana,4764,14.95,9.37,13.48,20.63
316021424,Wurtulla - Birtinya,4785,20.15,10.43,17.68,28.35
316031425,Coolum Beach,3151,10.04,3.82,15.38,17.05
316031426,Marcoola - Mudjimba,3924,14.37,11.27,14.64,17.81
316031427,Maroochydore - Kuluin,16343,15.17,9.9,13.31,19.49
316031428,Mooloolaba - Alexandra Headland,5252,12.37,6.71,12.35,19.96
316051434,Noosa Heads,4335,15.45,8.85,15.59,21.87
316051435,Noosaville,6981,15.29,8.63,15.54,19.57
316051437,Sunshine Beach,1432,8.38,2.13,11.99,15.5
316051438,Tewantin,2256,11.91,4.99,14.91,17.66
316051543,Peregian Beach - Marcus Beach,757,10.33,2.98,10.92,20.57
316051544,Peregian Springs,1322,11.67,6.27,17.69,17.45
316061439,Beerwah,2944,18.86,10.92,24.54,23.12
316061440,Caloundra Hinterland,2609,15.1,8.17,21.76,20.54
316061441,Glass House Mountains,1269,15.5,9.91,24.42,17.82
316061442,Landsborough,2097,14.5,11.6,19.16,19.19
316061443,Maroochy Hinterland,1110,14.64,5.63,21.35,25.14
316061444,Palmwoods,2671,14.43,9.68,18.93,21.17
316071545,Bli Bli,1229,12.64,6.82,15.62,19.49
316071546,Diddillibah - Rosemount,606,10.8,5.4,14.33,18.67
316071547,Eumundi - Yandina,4729,19.14,15.83,20.29,21.62
316071548,Nambour,12798,19.16,15.72,19.52,21.53
316081549,Noosa Hinterland,4932,16.26,9.48,22.27,24.98
317011445,Cambooya - Wyreema,746,12.64,6.17,16.64,24.04
317011446,Darling Heights,4442,11.54,5.38,6.99,23.26
317011447,Drayton - Harristown,5059,13.11,6.11,8.81,23.32
317011448,Gatton,4378,20.42,12.23,24.68,25.38
317011449,Gowrie (Qld),431,12.3,6.33,16.13,25.92
317011450,Highfields,2505,12.18,7.09,15.03,19.79
317011451,Lockyer Valley - West,2748,22.15,14.58,25.16,29.39
317011452,Middle Ridge,1300,9.97,4.12,7.93,22.1
317011453,Newtown (Qld),3181,11.37,5.38,8.63,20.85
317011454,North Toowoomba - Harlaxton,2392,13.73,6.88,9.12,25.1
317011455,Rangeville,1312,9.48,3.96,6.89,22.1
317011456,Toowoomba - Central,18046,12.95,5.22,8.67,25.1
317011457,Toowoomba - East,5633,11.21,5.41,8.84,20.54
317011458,Toowoomba - West,5006,18.14,9.34,12.47,32.28
317011459,Wilsonton,6332,15.19,8.08,10.94,26.64
318011460,Ayr,4018,8.62,3.33,8.14,16.2
318011461,Burdekin,3223,21.05,11.84,28.45,26.35
318011462,Charters Towers,2930,8.21,2.46,3.1,24.91
318011463,Dalrymple,1057,82.34,76.5,145.96,77.96
318011464,Ingham,2881,14.03,6.36,16.93,23.33
318011465,Ingham Region,1348,23.91,19.18,30.86,25
318011466,Palm Island,566,28.77,0,0,64.73
318021467,Aitkenvale,4580,8.56,6.57,6,9.68
318021468,Annandale,6046,10.1,8.77,9.86,12.11
318021469,Belgian Gardens - Pallarenda,1191,12.1,9.46,10.94,16.46
318021470,Bohle Plains,601,8.55,6.95,13.44,10.82
318021471,Condon - Rasmussen,2036,8.04,6.36,7.8,10.06
318021472,Cranbrook,1451,6.63,5.17,6.11,7.48
