SA4_CODE_2016,SA4_NAME_2016,,SA4_2011,Sw_amt,Alow_ben_amt,ETP_txbl_amt,Grs_int_amt,Aust_govt_pnsn_allw_amt,Unfranked_Div_amt,Frk_Div_amt,Dividends_franking_cr_amt,Net_rent_amt,Gross_rent_amt,Other_rent_ded_amt,Rent_int_ded_amt,Rent_cap_wks_amt,Net_farm_management_amt,Net_PP_BI_amt,Net_NPP_BI_amt,Total_PP_BI_amt,Total_NPP_BI_amt,Total_PP_BE_amt,Total_NPP_BE_amt,Net_CG_amt,Tot_CY_CG_amt,Net_PT_PP_dsn,Net_PT_NPP_dsn,Taxed_othr_pnsn_amt,Untaxed_othr_pnsn_amt,Other_foreign_inc_amt,Other_inc_amt,Tot_inc_amt,WRE_car_amt,WRE_trvl_amt,WRE_uniform_amt,WRE_self_amt,WRE_other_amt,Div_Ded_amt,Intrst_Ded_amt,Gift_amt,Non_emp_spr_amt,Cost_tax_affairs_amt,Other_Ded_amt,Tot_ded_amt,PP_loss_claimed,NPP_loss_claimed,Rep_frng_ben_amt,Med_Exp_TO_amt,Asbl_forgn_source_incm_amt,Spouse_adjusted_taxable_inc,Net_fincl_invstmt_lss_amt,Rptbl_Empr_spr_cont_amt,Cr_PAYG_ITI_amt,TFN_amts_wheld_gr_intst_amt,TFN_amts_wheld_divs_amt,Hrs_to_prepare_BPI_cnt,Taxable_Income,Help_debt,MCS_Emplr_Contr,MCS_Prsnl_Contr,MCS_Othr_Contr,MCS_Ttl_Acnt_Bal
701,Darwin,,Darwin,59149.36968,566.7377317,110.5049073,512.4274809,503.5174482,12.91984733,879.6897492,377.0261723,-766.8282443,4851.374591,2378.580153,2771.811341,467.8113413,0,-416.5370774,1311.281352,461.4236641,3596.050709,860.9160305,2273.268811,405.4482007,1878.015267,68.5736096,1781.195747,115.7241003,704.2709924,22.7868048,1660.810251,66998.91876,727.738277,128.9738277,209.6995638,108.4509269,708.9487459,66.78189749,19.03598691,201.9525627,145.3964013,193.917121,137.7126499,2648.607961,300.7088332,63.06434024,1926.801527,10.42966194,216.455289,36317.83697,46.95692475,575.5736096,704.3369684,9.043620502,0.230098146,0.023991276,64063.40731,1374.858779,4912.38277,1454.91494,1304.839149,90851.3615
105,Far West and Orana,,Far West and Orana,38230.2897,525.3673986,25.92736486,921.5236486,1250.57348,23.2339527,894.3581081,383.4974662,-107.1258446,1910.847973,980.1883446,912.7871622,124.9983108,-37.0472973,-109.8927365,1040.347973,1945.765203,4355.399493,2037.783784,3260.702703,173.3386824,441.1182432,943.9746622,2911.1875,75.47381757,180.7880068,19.07179054,1327.157939,48672.05405,519.1689189,247.6630068,158.5996622,81.92398649,493.8826014,8.690033784,62.27618243,85.42060811,372.8386824,144.625,102.5439189,2277.632601,290.652027,50.49239865,1066.526182,16.96537162,31.91976351,28681.64274,24.22804054,661.4467905,957.597973,4.077702703,0.116554054,0.037162162,46063.14189,1199.989865,3981.425676,3077.478885,391.2119932,90073.62753
203,Geelong,,Geelong,38382.00175,575.0548376,186.4872511,837.4928397,998.4173943,62.57492141,1312.060426,562.0866224,-295.5801607,2437.147747,1176.784492,1400.096402,155.8470136,-56.10548376,-25.15962277,2949.532658,177.0695075,8428.728606,194.5151939,5470.132379,1522.930143,4056.202934,144.1215508,4957.942019,225.4554663,405.169752,114.1246944,1231.547677,54090.15473,747.5420887,118.1121202,139.7265107,72.25288159,559.1397136,75.14111072,43.599022,235.539993,424.2892071,195.5993713,99.78798463,2710.730003,177.1016416,9.891372686,1251.030388,14.61788334,189.0939574,31468.28641,52.17778554,931.4152986,1295.438701,4.214460356,0.275934335,0.028641285,51267.18372,2151.544883,4077.235417,3345.45861,640.6311561,135086.3528
309,Gold Coast,,Gold Coast,38834.20611,896.8204844,169.5752731,949.4231439,1109.193288,48.05952192,2324.202311,995.866234,-393.5051448,3026.126642,1519.38895,1668.318506,231.9243312,0,34.62387209,2107.111604,96.91230014,6681.937154,63.09751464,4451.179041,1024.49343,3080.27703,-33.16194396,5653.122685,193.4484724,355.0994143,95.31866392,1637.648251,56001.57496,819.2534431,218.1350325,145.8515118,85.0796264,565.7156878,79.02786133,63.58682919,114.5744816,268.5225582,203.7457654,159.0869083,2722.579706,19.96548995,157.8182682,789.7699858,14.85483616,416.2292227,31483.64081,73.40256451,650.7679278,1939.342884,5.39734051,0.584454646,0.03862593,53161.84296,2155.755897,4043.65854,2480.055089,392.7801171,105710.9842
601,Hobart,,Hobart,37458.88361,379.0681334,191.3587651,851.9648687,1265.804116,61.37437899,1957.097587,840.2224982,37.7689851,1816.561391,803.9080908,883.8555713,91.02874379,-9.386089425,16.32469837,2123.126331,217.0482612,8706.783534,140.7008517,6427.020227,424.8115685,1203.855926,38.35095813,2426.016678,145.4247693,1395.844925,73.08942512,1683.453513,51360.60326,471.2643719,79.97374024,119.6387509,65.52874379,477.1185238,38.56635912,21.28105039,283.371895,210.5191625,101.5734564,110.8814762,1979.71753,56.68417317,23.69268985,1536.195174,21.34421576,411.1391057,30212.1785,9.395670688,926.9347055,1147.793825,2.936124911,0.346699787,0.037970192,49377.52271,1996.380057,3798.773953,3362.460256,823.1355571,118411.6739
204,Hume,,Hume,35057.83762,391.3842444,195.9533762,957.5782422,1141.258307,47.57931404,840.9908896,360.4281886,-118.3992497,1687.907288,794.9362272,922.1055734,89.26473741,-66.05037513,-235.392283,1435.164523,771.8853162,4764.11522,941.4801715,3204.227224,391.9496249,871.2245445,-253.2122186,2896.971597,138.5487674,489.4303323,17.2357985,1239.436227,44928.69293,558.9105038,171.0332262,140.8242229,51.7920686,400.4271168,20.83118971,23.78617363,82.01018221,173.5712755,127.7856377,79.44855305,1830.42015,105.3563773,72.17684887,1036.989282,9.229903537,173.3102894,28201.88585,11.97642015,652.3167203,848.9303323,2.886387996,1.072347267,0.016613076,42966.71704,1331.947481,3413.015005,2968.625402,1018.491426,103504.4577
106,Hunter Valley exc Newcastle,,Hunter Valley exc Newcastle,48629.24269,588.497807,405.9813596,928.938962,1125.09576,20.62828947,1070.947368,458.4813596,-364.2119883,2286.857091,1085.107456,1365.5,200.4616228,1.725146199,-450.5084064,1224.251096,327.0698099,5469.68019,626.5354532,4233.683114,303.6465643,748.9247076,-337.1345029,1792.852339,172.5211988,414.248538,30.72149123,1473.430921,57489.35599,737.0822368,151.3768275,159.9470029,88.55226608,528.0168129,38.67909357,61.34502924,107.2152778,158.373538,154.0087719,113.0990497,2297.695906,52.18457602,145.0829678,919.8534357,12.03545322,91.48135965,34363.66301,75.60160819,727.7986111,1424.416667,3.567251462,0.072368421,0.04130117,55152.95687,1028.440424,4702.527778,2089.927997,475.3092105,114666.0029
107,Illawarra,,Illawarra,46865.52046,671.425218,268.1639839,1087.423877,1043.51945,30.2843729,2047.042254,877.2508384,-24.94466801,2658.176727,1259.483568,1259.768612,163.8692153,46.83098592,-16.12608987,2067.766935,92.46512408,7006.938967,108.4342723,4898.517773,1199.428907,3194.798122,3.459758551,1936.419517,261.2035547,201.0764588,29.19014085,1145.681422,59740.61737,826.3383635,181.962106,167.7152918,120.8283032,759.3413816,51.26123407,75.55566734,131.2659289,232.8819584,135.7967807,141.4768612,2824.423877,58.31120054,63.36452046,1236.077465,17.20422535,74.20120724,33951.42488,82.30549966,989.0566734,1031.814889,5.595238095,0.255868545,0.033534541,56846.69718,1789.13548,4611.163984,1932.495976,658.9325956,129753.2274
310,Ipswich,,Ipswich,43833.74032,642.2520027,149.3197597,454.4028705,1133.226302,13.77536716,261.605474,112.0674232,-348.0974633,1627.549733,888.8968625,964.7840454,121.9662884,0,-31.77102804,1702.142857,315.4919893,6455.455607,337.0317089,4685.941923,166.1091455,450.7837116,69.80340454,961.9809746,99.6111482,354.6512016,12.68224299,1630.920895,51218.4229,719.838785,189.1992657,163.5086782,77.25867824,558.2606809,24.79873164,20.15921228,98.30841121,76.15086782,111.3397864,106.0440587,2144.867156,21.92890521,21.44626168,952.1491989,7.403871829,152.8845127,25789.00935,73.24065421,592.6535381,459.2993992,7.370493992,0.053070761,0.082777036,49050.35347,1752.381175,4040.163551,1179.234312,585.3805073,80407.6966
205,Latrobe - Gippsland,,Latrobe - Gippsland,36520.7222,612.2491956,392.8369682,1181.436182,1242.385413,75.09259921,1479.013586,632.8316053,-38.93814802,1662.023239,840.0425456,776.159099,84.75974258,-46.27851269,-363.5219878,1238.772256,1534.519128,5989.249553,1758.460136,4659.794065,318.1022524,1558.922059,588.8859492,3142.612084,134.9052556,255.8973901,25.35180551,1503.022167,48895.37826,715.9574544,186.5341437,155.7944226,62.30353951,528.2649267,67.66285306,42.765463,94.31247765,320.806221,134.6313908,76.59528066,2385.628173,105.917054,53.33821952,1103.712907,11.64890955,329.1898463,27345.78691,12.8330354,700.6982481,774.2602789,3.855202002,0.202002145,0.189846264,46393.63211,1133.436539,3507.529496,3074.087236,790.8995352,106306.2506
