SA1_id,SA1_2PP
1137408,49.05996094
1137409,49.38039301
1137410,48.71549383
1137411,46.70937063
1137412,48.02517986
1137413,42.60703125
1137414,50.1053719
1137416,50.99649547
1137417,45.61596206
1137418,41.81560694
1137419,40.06742063
1137420,48.21220183
1137421,48.21953678
1137422,47.57420213
1137423,48.30628931
1137424,48.43989305
1137425,48.06835714
1137426,47.87191489
1137427,48.20196172
1137428,47.75296
1137429,48.21162264
1137436,33.21929664
1137437,33.71461153
1137441,39.11347222
1137442,40.14530713
1137443,39.50635417
1137444,38.53287671
1137445,38.79052459
1137446,39.59276657
1137447,52.98806202
1137450,49.64655629
1137451,49.34904348
1137901,50.46033333
1137902,49.20118541
1137903,49.25947552
1137904,49.621325
1137905,48.33389535
1137906,48.94468635
1137907,55.4582
1137908,55.1057563
1137909,48.50383333
1137910,47.73725962
1137911,48.38161616
1137912,50.75390588
1137913,49.65635514
1137916,49.86943662
1137917,49.71830128
1137918,49.93458445
1137919,53.71553571
1137920,54.20754237
1137921,54.2854717
1137929,48.96522822
1137934,49.64864734
1137935,49.26197719
1132601,71.20146552
1132602,73.16871186
1132603,71.17480769
1132604,69.0299005
1132605,71.26141414
1132606,71.03492908
1132607,71.63911548
1132608,70.76391129
1132609,72.22188889
1132610,71.76527397
1132611,71.71257009
1132612,72.34159533
1132613,72.84080605
1132632,71.95376147
1132633,69.85245902
1132634,69.97941935
1132635,74.23850242
1132636,70.14888889
1132637,71.83481328
1132640,71.57246154
1132641,71.43539063
1132644,69.35294702
1132645,72.60263158
1132646,73.41401316
1132657,71.11526316
1132807,67.52381443
1132808,67.88815668
1132809,67.53754839
1132810,68.13237822
1132811,68.02506173
1132812,67.93045833
1132813,68.935
1132814,68.06847737
1132817,68.28793011
1136209,69.64993976
1136239,58.28414729
1136304,58.3272963
1136305,63.85765517
1136312,64.80008658
1136313,63.50178423
1136314,63.40244565
1136315,63.00708197
1136316,57.41745399
1136344,63.86216524
1136346,62.65718919
1136347,58.32942748
1136348,58.16
1136349,58.00028571
1136350,56.76913514
1136351,59.56629787
1136352,60.63330645
1136353,64.17274854
1136364,55.77581498
1136366,63.35447761
1136401,58.15957346
1136402,58.01760976
1136403,60.9138558
1136404,62.20102703
1136405,60.76927215
1136406,59.61994624
1136407,57.62275229
1136408,58.37494118
1136409,58.54949749
1136410,62.17075829
1136411,57.99409283
1136412,57.00921708
1136413,55.89742236
1136414,57.78542522
1136415,56.83701087
1136416,57.88377005
1136417,58.47705015
1136418,57.71161826
1136419,56.55510791
1136420,57.6716955
1136421,56.79685841
1136422,55.94439093
1136423,55.2395189
1136424,60.47597285
1136425,58.17378698
1136426,55.90939815
1136427,55.91890909
1136432,57.49389474
1136433,56.93551913
1136434,57.65983871
1136435,58.6047619
1136436,57.68780992
1136437,54.43016892
1136440,54.18302387
1136441,56.06450847
1136442,58.23465201
1136443,57.78067797
1136444,58.25190332
1136445,57.96522267
1136446,58.02111111
1136447,57.79328358
1136448,57.05054545
1136449,58.57290598
1136450,58.30874286
1136451,61.56098592
1136452,61.56849359
1136453,52.00662651
1136454,58.96875817
1136455,57.35095238
1136456,57.88114695
1136457,57.26155462
1136458,57.01012245
1136801,50.26206667
1136802,49.52972093
1136803,48.74092784
1136804,50.581375
1136805,49.72339806
1136806,48.71518219
1136807,48.70805369
1136808,48.1887156
1136809,50.99759322
1136810,52.33345395
1136811,52.33816794
1136812,51.21657224
1136813,50.66984326
1136814,50.85634615
1136815,51.15783715
1136816,48.59638158
1136817,47.89053498
1136818,51.54695652
1136819,50.13707101
1136820,49.77820375
1136821,49.03924107
1136822,48.73015228
1136823,48.38248588
1136824,48.01634675
1136825,48.08064327
1136826,48.40353125
1136827,47.18
1136828,47.41152174
1136829,48.46449772
1136830,47.26537383
1136831,47.9391358
1136832,47.44901141
1136833,48.74015936
1136834,50.00906355
1136835,50.88027607
1136836,48.81685083
1136837,51.45103448
1136838,51.5581448
1136839,52.13747212
1136840,50.39643791
1136841,50.73718447
1136842,50.46480702
1136843,48.82312684
1137001,50.90921212
1137009,50.05638554
1137010,49.99773256
1137025,49.60423684
1137026,49.53525926
1137027,49.47846457
1137028,49.50375862
1137029,49.71315412
1137501,63.10525547
1137502,63.59309589
1137503,62.91605714
1137504,62.70857143
1137505,61.95654762
1137506,62.36930818
1137507,62.33193676
1137509,61.84535714
1137510,61.98240688
1137511,63.0421875
1137512,61.99615752
1137513,63.51396285
1137514,63.02971503
1137515,61.90677215
1137516,61.41584746
1137517,61.66684211
1137518,62.4112766
1137519,61.38437831
1137520,62.17619658
1137521,61.35
1137522,60.90111782
1137523,60.69503937
1137524,60.71688525
1137525,62.20433476
1137526,62.48279352
1137527,61.32109948
1137528,63.49603922
1137529,60.71852217
